event_id,team,module,priority,build_time_min,deploy_time_min,commit_size_loc,num_bugs,test_coverage_pct,ticket_resolution_h,deploy_status
1,Alpha,auth,media,0.93,5.13,13,0,78.0,3.38,success
2,Delta,ui,alta,0.5,0.3,38,0,84.7,7.54,success
3,Gamma,infra,baja,6.38,5.61,27,0,88.5,7.05,success
4,Beta,db,media,9.73,8.66,74,0,64.2,5.5,success
5,Beta,api,media,0.5,0.3,33,0,51.3,4.28,success
6,Delta,auth,alta,6.58,4.87,43,0,95.9,8.22,success
7,Alpha,infra,critica,2.68,2.25,44,0,87.9,2.2,success
8,Gamma,infra,alta,8.39,6.34,64,0,62.7,2.72,success
9,Alpha,ui,media,0.5,3.46,41,0,86.0,5.33,success
10,Alpha,ui,media,3.37,4.96,26,0,60.3,7.18,success
11,Gamma,api,media,2.72,1.63,72,0,84.3,8.47,success
12,Delta,api,media,9.3,3.32,174,0,85.9,5.69,success
13,Gamma,auth,baja,4.47,4.59,75,0,53.8,6.11,success
14,Delta,auth,media,3.24,1.8,39,0,66.8,3.73,success
15,Gamma,auth,alta,3.43,2.24,60,0,57.2,3.47,success
16,Delta,db,media,7.26,6.41,11,0,74.2,7.92,success
17,Gamma,auth,alta,3.15,2.3,59,0,88.9,6.47,success
18,Alpha,auth,media,5.66,5.66,47,0,51.1,12.43,success
19,Delta,ui,media,4.85,10.69,29,0,95.7,9.69,success
20,Beta,auth,baja,5.69,6.63,34,0,78.7,5.04,success
21,Gamma,auth,baja,0.5,5.16,46,0,47.4,6.21,success
22,Beta,ui,media,9.01,8.18,163,0,66.8,3.03,success
23,Alpha,api,media,8.22,6.62,178,0,38.8,8.15,success
24,Delta,ui,baja,0.5,3.12,29,0,55.9,7.29,success
25,Delta,infra,baja,2.59,4.25,42,0,75.6,10.32,success
26,Gamma,auth,baja,11.39,10.49,43,0,73.9,6.96,success
27,Beta,infra,alta,4.96,4.62,138,0,54.0,2.88,success
28,Delta,infra,alta,3.12,0.3,76,1,71.7,6.12,success
29,Gamma,db,media,5.75,1.28,72,0,67.4,6.42,success
30,Beta,ui,baja,3.62,4.83,108,0,91.3,7.6,success
31,Beta,ui,baja,3.59,0.84,39,0,55.8,6.19,success
32,Alpha,ui,baja,7.67,7.82,228,0,61.3,6.12,success
33,Alpha,ui,media,5.06,7.88,67,0,85.9,9.35,success
34,Gamma,auth,baja,2.71,2.57,31,0,64.7,4.75,success
35,Delta,infra,baja,9.78,10.4,54,0,41.5,8.68,success
36,Alpha,ui,critica,8.18,7.06,202,1,50.7,5.62,success
37,Delta,db,media,2.65,3.15,45,0,65.4,9.33,success
38,Delta,api,alta,9.96,7.66,157,0,88.8,14.47,success
39,Beta,auth,baja,0.5,0.3,38,0,67.1,5.27,success
40,Gamma,ui,baja,8.96,4.48,33,0,36.4,9.8,success
41,Alpha,ui,critica,3.05,0.3,121,0,78.3,6.6,success
42,Delta,api,media,6.67,3.67,30,0,67.9,4.73,success
43,Gamma,api,media,11.34,13.65,140,0,94.6,5.34,success
44,Beta,auth,critica,3.18,0.3,92,0,72.6,4.19,success
45,Alpha,ui,media,1.78,0.3,30,0,,8.24,success
46,Delta,api,baja,3.55,1.62,63,0,77.5,7.95,success
47,Beta,infra,media,5.09,2.66,41,0,61.5,11.75,success
48,Delta,auth,baja,1.58,3.12,91,0,59.2,5.79,success
49,Gamma,api,baja,12.56,7.51,365,0,65.4,7.54,success
50,Delta,api,baja,2.45,2.47,48,0,47.0,8.56,success
51,Delta,ui,alta,1.6,0.34,108,0,79.1,4.79,success
52,Alpha,api,media,1.31,1.1,68,0,,4.38,success
53,Beta,ui,baja,4.42,4.0,68,0,94.7,11.8,success
54,Beta,infra,baja,4.04,3.59,57,0,56.9,8.43,success
55,Beta,api,media,0.64,6.84,31,0,72.2,3.55,success
56,Alpha,ui,critica,4.91,4.38,90,0,78.6,3.28,success
57,Gamma,auth,baja,1.25,1.73,51,0,77.7,5.87,success
58,Alpha,api,baja,6.31,0.3,30,0,40.7,14.38,success
59,Gamma,api,alta,6.62,6.07,166,0,68.6,4.97,success
60,Gamma,auth,alta,8.06,1.4,73,0,49.4,11.1,success
61,Delta,ui,critica,0.5,3.18,54,0,78.6,6.11,success
62,Gamma,ui,baja,9.83,7.75,223,0,74.6,8.91,success
63,Beta,db,baja,4.18,6.0,13,0,75.5,6.22,success
64,Delta,ui,media,7.86,4.63,210,0,64.5,5.83,success
65,Beta,ui,baja,1.28,2.34,30,0,64.1,5.22,success
66,Beta,api,alta,3.97,5.57,81,0,97.0,9.01,success
67,Delta,auth,baja,5.51,2.48,39,1,79.8,16.75,success
68,Beta,auth,media,0.5,3.33,29,0,61.1,7.71,success
69,Alpha,ui,critica,10.37,9.13,218,0,43.3,4.93,success
70,Beta,infra,critica,13.58,9.31,354,0,76.1,4.36,success
71,Delta,auth,media,2.83,7.14,55,0,43.9,13.13,success
